Author,Author Description,Publication Date,Votes,Review
Assistant,Bot,2024-07,0,"Agile methodology is an iterative and incremental approach to software development that emphasizes collaboration, flexibility, and rapid delivery of working software. The key principles of agile methodology include:
Advantages of Agile Methodology:
Adaptability: Agile allows teams to respond quickly to changing requirements and market conditions, enabling them to adapt their plans and priorities as needed.
Faster Time-to-Market: By breaking down projects into smaller, manageable iterations, agile teams can deliver working software more frequently, often in a matter of weeks or months.
Improved Collaboration: Agile emphasizes close collaboration between the development team, stakeholders, and customers, leading to better alignment and understanding of project goals.
Higher Quality: Agile's focus on continuous testing and integration helps identify and address issues early in the development process, resulting in higher-quality software.
Increased Transparency: Agile methods, such as daily standups and sprint reviews, provide greater visibility into the development process, allowing for better project management and decision-making.
Disadvantages of Agile Methodology:
Resistance to Change: Some organizations and team members may be reluctant to adopt agile practices, especially if they are used to more traditional, waterfall-based approaches.
Lack of Upfront Planning: Agile's emphasis on iterative development can make it challenging to create detailed long-term plans and roadmaps, which some organizations may prefer.
Potential for Scope Creep: The flexibility of agile can also lead to continuous changes in requirements, which can result in scope creep and difficulty in managing project timelines and budgets.
Increased Coordination Effort: Agile requires close collaboration and communication between team members, which can be more challenging in larger, distributed teams.
Potential for Technical Debt: The rapid delivery of working software in agile can sometimes lead to corners being cut, resulting in technical debt that needs to be addressed in the future.
Overall, agile methodology provides a flexible and responsive approach to software development, but it may not be the best fit for all organizations or project types, depending on their specific needs and constraints."
Oliver Dolan,10 Years Commercial Software Engineering,2017,11,"The agile methodology is based around the agile manifesto, the original definition can be seen here: Principles behind the Agile Manifesto
If you navigate through the principles you will see some common themes:
The stakeholders needs are prioritised
To achieve this we must decide who the stakeholders are
Oliver Dolan's answer to Who are your stakeholders in Agile projects?
As well as capture the stakeholders requirements effectively
Oliver Dolan's answer to How do you define a ""feature"" of a software precisely and effectively?
Oliver Dolan's answer to How do I write good user stories and acceptance criteria for web based project?
The management teams get more flexibility in prioritisation and this increases there feeling of engagment
Deliver to stakeholders quickly to obtain feedback
See my answers here on how to ensure you are delivering in an agile manner
Oliver Dolan's answer to How do I get started on a agile project management?
Oliver Dolan's answer to What are the steps in creating a software?
Oliver Dolan's answer to How we can increase corporate agility?
The delivery times are squeezed which aids to identify weak corporate processes
Information learned on the way is visible and accounted for in future plans
Continuous improvement is a big focus using PDCA cycles. (plan, do check & act)
As for the advantages and disadvantages these are often
Subjective
It depends on your view point and where in the organisation you are situated.
Developers tend to favour agile
Project managers or team leaders not so much as there role and importance can become eroded.
Industry specific
Depending on industry agile methodologies will have varied applicability
It was designed for software so its heavily applied in software engineering
We are only now in 2017 starting to see other industries adopt some of the ideas.
Implementation specific - This is huge, infact this might be the most important
Who is commanding the implementation
Obviously if someone is making foolish decisions at a high level of management it can be seen in the results of the business.
What are the best ways to be an effective leader? I have recently been elected the leader of an undergraduate professional marketing organization with about 300 active members.
What is implemented
SCRUM
https://www.quora.com/topic/Scrum-product-development/faq
Oliver Dolan's answer to What is the best way to apply SCRUM principles for an open source project?
Kanban
https://www.quora.com/topic/Kanban/faq
SAFE
Oliver Dolan's answer to What is your review of Scaled Agile Framework (SAFe)?
Oliver Dolan's answer to What is SAFe?
LESS
Large Scale Scrum (LeSS)
Others are listed here:
Agile software development - Wikipedia
How it is implemented
The implementation is very important and will ultimately determine your success. Please see my answer for how I am currently managing my agile projects.
Oliver Dolan's answer to How do I get started on a agile project management?
I also think that the project manager or leader is one of the most important roles when the agile delivery method has been decided.
Oliver Dolan's answer to What core technical skills are needed by an Agile Project Manager?
As for the advantages and disadvantages I have decided to keep this simple and to the point so as to answer the question as best as possible.
Advantages
Faster cycle times
Speed to market
Improving quality through continuous improvement
Enhanced visibility of what teams are doing
Easier to react to business changes
Reduced risk due to greater visibility and more adaptability
Customer satisfaction due to being more involved and listened to
Product market fit becomes more probable due to feedback cycles
Teams often like the process
Teams start performing better due to PDCA cycles
Highlights problems early
True prioritisation as stories are often small enough to do prioritisation effectively
Seeing the benefits of work undertaken sooner
Team feels more united due to team commitments and cross functionality
It allows for identification of wasteful processes
Faster feedback from the stakeholders
Stakeholders are more engaged as they are more likely to get what they want and change it before using too many resources.
Higher quality due to squeezed delivery times
More transparency throughout the value stream
Less documentation to maintain
Higher chance of working solution due to automated acceptance criteria testing
Maintenance is easier
Disadvantages
Oliver Dolan's answer to In a nutshell, why do a lot of developers dislike Agile? What are better project management paradigm alternatives?
Stories can be hard to slice
Customer expectations on quality can be damaged with MVP approach
Micromanagement
Lots of meetings
Agile projects can be hard to agree contractually
Stakeholder dissatisfaction with priorities
The teams doing the work can feel dis empowered
Lack of understanding of the agile methods in depth at different corporate levels
Yearning for the past of agreed specifications and budgets
Lack of clarity on what will be available when
Backlog can be difficult to prioritize
It can also become huge
The terminology can be confusing
Story points, velocity, burndown, value stream etc..
It can abstract the organisation from the team
Listening to the customer is not always in the best interest of the business
It can be hard to distinguish the methodology's and when should be applied.
It is not a magic bullet to solve everything and can be oversold
It can reduce employee morale and satisfaction
It can dis empower individuals
It can be perceived as cultist and egocentric
Scaleability can be difficult to get correct
There are lots of things I could write but these are the main ones I can think of right now.
Hopefully it helps
Good Luck
Oliver Dolan!"
Murray Robinson,Works at IE Digital,2018,48,"Agile is not a methodology. It is a philosophy of work with a set of values, principles, frameworks and methods. Here are what I see are it’s weaknesses.
Agile is open and honest. That makes its bad for managers who get ahead through deceit and manipulation.
Agile empowers the team. This means that its a threat to authoritarian managers who threaten, control and intimidate staff and each other to get what they want.
Agile is about breaking down the barriers between functional silos. So its not good for people who are building an empire of functional specialists
Agile is about working together in co-located, cross functional teams. This makes agile a threat to offshore, outsourcers in developing countries.
Agile is a fundamental change in the philosophy of work which requires changes in an organisations values, principles, frameworks and processes. This means that agile cannot be implemented over night. It needs at least two years to get the full benefits.
When Agile is implemented in one area such as development it immediately exposes serious problems in the areas around development which managers have been successfully hiding for many years. They dont like being exposed and will often push back hard.
If you only implement agile in the dev team you get little benefit from it. You only get the full benefits of agile when you apply it to your whole product development lifecycle.
Agile has been turned into a big money making business by some certification authorities. This has led to Scrum becoming arrogant and dogmatic.
The revenue from Agile consulting has led to a lot of big name, consulting firms selling agile without understanding it. This has led to people like the OP thinking that agile is just another methodology or process."
Sasha Andrieiev,CEO at Jelvix (2011–present),2020,29,"The core value of Agile development is that it enhances the quality and predictability of the team workflow. It helps to get a quicker return and improves the quality of responsiveness. Scrum and Kanban are the two most widely used Agile methodologies.
Agile software development is based on iterative development. All the requirements and solutions are being developed only through the collaboration between self-organizing cross-functional teams.
About the advantages:
Agile methods or Agile processes help to streamline the project management process;
They are based on such key points as encouraging procurement and adaptation, leadership philosophy, teamwork, and self-organization;
The rapid delivery of high-quality software is facilitated by accountability to best design practices;
This business approach connects development with customer needs and company goals.
Drawbacks of agile methodologies:
More time and commitment. Testers, customers, and developers must constantly interact closely with each other. All participants must be prepared for quick testing and logout at each stage. This guarantees the quality of the product, meanwhile, the team’s workflow will become longer and more difficult;
Greater demands on developers and clients. This system requires a great return on each of the participants to the entire project to ensure success. Customers need to be trained to facilitate product development. Even a minimal lack of customer involvement will affect the quality and success of the software.
If you are still thinking about whether to implement Agile, here is an article on how to implement the most common agile project metrics."
Keshav,Content Writer | Software Developer,2021,0,"Agile methodology is a project management system that relies on incremental development. Each iteration consists of two- to four-week sprints, where each sprint's goal is to build the most important features first and come out with a potentially deliverable product. More features are built into the product in subsequent sprints and are adjusted based on stakeholder and customer feedback between sprints. Whereas other project management methods emphasize building an entire product in one iteration from start to finish, agile scrum methodology focuses on delivering several iterations of a product to provide stakeholders with the highest business value in the least amount of time. Agile methodology has several benefits. It encourages products to be built faster since each set of goals must be completed within each sprint's time frame. It also requires frequent planning and goal setting, which helps the scrum team focus on the current sprint's objectives and increase productivity.
The greatest benefit of agile methodology is its flexibility. With the sprint-based model, the scrum team typically receives feedback from stakeholders after each sprint. If there are any problems or changes, the scrum team can easily and quickly adjust product goals during future sprints to provide more valuable iterations. This way, stakeholders are happier because they get exactly what they want after being involved every step of the way.
Advantages-
1. Superior quality product: In Agile project management, testing is an integrated part of the project execution phase which means that the overall quality of the final product is greater. The client remains involved in the development process and can ask for changes depending on the market realities. Since Agile is an iterative process, project teams keep on learning and growing with time and continue improving.
2. Customer satisfaction: In Agile, the customer is always involved in the decision-making process which leads to greater customer retention. In the traditional framework, the customer is only involved in the planning phase and does not influence execution which affects flexibility and adaptability. By keeping the customer in the loop and making changes according to their feedback, you deliver value to the customer and ensure that the final product is truly according to their requirements.
3. Faster ROI: The fact that agile development is iterative means that the features are delivered incrementally. Therefore, benefits are realized early while the product is in the development process. Long delivery cycles are often a problem for businesses, particularly those in fast-moving markets. Agile means fast product releases and the ability to gauge customer reaction and alter accordingly, keeping you ahead of the competition.
4. People and interactions are emphasized rather than processes and tools. Customers, developers, and testers constantly interact with each other.
5. A result-oriented team: Agile fosters an open culture of idea exchange and cooperation within teams. It spurs lively team collaboration, boosts morale, and clearly defines all the roles and responsibilities. Each and every member is in-the-know when it comes to pressing tasks and priorities.
Disadvantages-
1. Active user involvement and close collaboration are required throughout the development cycle. This is very engaging, rewarding, and ensures delivery of the right product. It’s the fundamental principle in agile that ensures expectations are well managed. And since the definition of failure is not meeting expectations, these are critical success factors for any project. However, these principles are very demanding on the user representative’s time and require a big commitment for the duration of the project.
2. Requirements emerge and evolve throughout the development. This creates the very meaning of agile – flexibility. Flexibility to change course as needed and to ensure delivery of the right product. There are two big flip sides to this principle though. One is the potential for scope creep, which we all know can create the risk of ever-lasting projects. The other is that there is much less predictability, at the start of the project, and during, about what the project is actually going to deliver. This can make it harder to define a business case for the project, and harder to negotiate fixed-price projects. Without the maturity of a strong and clear vision, and the discipline of fixing timescales and trading scope, this is potentially very dangerous.
3. Agile requirements are barely sufficient. This eliminates wasted effort on deliverables that don’t last (i.e. aren’t part of the finished product), which saves time and therefore money. Requirements are clarified just in time for development and can be documented in much less...
Access this answer and support the author as a Quora+ subscriber
Access all answers reserved by
Keshav
for Quora+ subscribers
Access exclusive answers from thousands more participating creators in Quora+
Browse ad‑free and support creators
Start free trial
Learn more"
Mohanakrishnan Gopalakrishnan,"M Tech in Computer Science, Indian Institute of Technology, Madras (IITM) (Graduated 1987)",2024-06,0,"Let’s try answering this question through a parallel - of building a house in place of software development. Mapping the answers to the software domain should be straightforward.
Agile is like moving into a house while you are building that house. At the outset this might sound crazy, but this has many advantages and of course disadvantages.
Pro : You don’t have to wait for a couple of years to move in, you start enjoying the house early in the development cycle. Also you save on rent while building the house. Con: In the initial phase the house will be quite unliveable, you have to live through that. Also you are more involved in evolving the house on a day to day basis. This takes extra time from you compared to when you totally outsource the building work based on an approved plan.
Pro: You don’t have nasty surprises in the end - you keep finding and fixing issues and discomforts as you keep building
Pro: You don’t need to have a grand plan in the beginning to start building. If you are not a grand plan person, this is your cup of tea. You start discovering what you need as you start living in the house and you keep building the top priority features at that point. This helps you discover the needs as you go by. Con: If you are a grand plan person, you would hate this. Also, if you are really good at dreaming up the ideal house, and won’t have to make much changes to that plan, you will have a more optimal design if you start with the grand plan.
Pro: As a person living in the house, you are able to provide continuous, lived-in feedback every small change that is getting added to the house. This is a million times better than the kind of feedback you would be able to give looking at engineering drawings of the house. Con: If you are too fickle minded, you might keep changing your requirements and you might end up spending much more on scope creep than otherwise."
Jessica Wood,"M.tech in Physics, Chemistry, and Mathematics (science grouping), Thomas Jefferson High School for Science and Technology (TJHSST) (Graduated 2010)",2020,1,"Hi,
Agile is the methodology where the software project is broken into several small stages and these are managed by a team with constant collaboration and continuous iteration and improvement.
In simpler words, it is the iterative approach that effectively focuses on customer feedback, constant changes, collaboration, with rapid releases.
Agile effectively targets software development and follows the shift-left principle. Also, it focuses on functional and non-functional readiness.
There are several benefits that are achieved for enterprises with agile. The most important benefit is that it offers shorter development cycle with enhanced detect detection.
Along with the advantages, there is even other side, i.e. the challenges. Yes, Agile even lays down challenges that should be considered while practice agile testing.
The most important challenge with agile methodology is that it is difficult for the teams to be more productive every time.
Thanks!"
Victor Malyavko,QA evangelist | Cherish DEV Founder,2022,3,"Agile is a software development methodology that emphasizes collaboration, responsibility, and openness. It is a technique for development management that stresses iterative and incremental development, and early delivery of functioning software. The Agile methodology relies on rapid and frequent deliveries of working software that allows teams to respond to changes in requirements, rather than planning everything in advance. The components are adaptive planning, evolutionary progress, and collaborative rewards. The process covers the full software development cycle, from requirements to deployment and maintenance.
Advantages:
Reduced time to market — adaptability and constant communication make the final product as clear as possible, which reduces the time for its testing.
Creativity — using a variety of minds and constantly solving complex problems leads to the creation of innovative approaches to product testing.
Meeting the requirements of the customer and the expectations of the end user — the continuous communication of developers, testers, businessmen and users leads to the creation of an ideal hit on the goals of the product.
Changes even at late stages — this can be achieved as painlessly as possible due to the fact that the testing process is divided into sprints, as well as through communication within the team (each member knows the product well).
Quickly identifying wrong approaches and making quick decisions — this can be achieved through daily communication of team members.
Disadvantages
Creating stress fear of uncertainty — team members can be frustrated knowing that the changes can be made during the last stages of development;
Degradation of quality — Agile is fast and has a large volume, so the quality may become lower.
Long time to implement — Agile is a complex methodology that can be a problem;
Stress for customers — not everyone is ready for daily meetings and problem-solving that they hoped to delegate to others.
Strong motivation of employees and professionalism at the same level are required — QA Engineers must keep up with each other in a rapidly changing, flexible software testing process, and this is difficult to achieve with insufficient motivation and qualifications of at least one of the team.
In my article you’ll find more information about Agile
Agile: Tribute to Fashion or Effective QA Management?
The Agile Methodology is a software development methodology that is implemented to increase software development speed and agility. Touted to be good for the software industry, it is not a novel idea.
https://www.linkedin.com/pulse/agile-tribute-fashion-effective-qa-management-victor-malyavko/"
Anand Singh,QA Manager,2022,0,"Hi,

Agile Model/Methodology is one of the procedure followed while software development and testing for the products. In short, It is a concept being used in SDLC(Software Development Life Cycle). Agile Methodology is an iterative and incremental approach, where the features keep on adding and as a company should ensure it is flexible enough to handle it and deliver it within a short period of time to gain customer's satisfaction.

Examples of approaches to agile model are:
1) Scrum
2) Kanban
3) Extreme Programming (XP)
4) Feature Driven Development (FDD)
5) Adaptive Software Development Method(ASDM)
In most of the companies providing 'software qa services are using ""Scrum"" and ""Extreme Programming"" methodlogies
It is very common now a days that most of the Software companies follows agile methodology. I have consolidated advantages and disadvantages below:

Advantages/Principles of Agile Method:
1) Product release process will become very fast
2) Requirement changes are allowed at any stage of Agile Model
3) Main Goal is Customer's Satisfaction
4) There will be a good communication between Customers, Business Analyst, Developers and Test Engineers
5) It is a very Easy Model to adapt
Disadvantages of Agile Model:
1) There will be less focus on Designing and Documentation as it plays a major role in Waterfall model.
2) Final product is not released first
3) Long-term projects suffer due to incremental delivery.
4) Difficult to handle
5) Sign-off at every phase is required to allow developers to move forward.
Hope the above information will help you.
Thanks,
Anand"
Anand Kumar,Startup Specialist (2014–present),2021,78,"Agile methodology, in simple terms, means a guidance path for the companies to work efficiently. The idea is to adapt to the change instead of clinging to your plan. It’s about being responsive to the changing market and the customers, adapt and grow.
Yes, just like the word Implies, it can help your work progress quickly and easily. It follows simple four ideas:
Individuals and interactions over processes and tools: Humans perform software development; therefore the quality of interaction between them is vital. Though tools are an important part of software development, focusing more on teamwork regardless of the tools the team uses makes great software.
Working software over comprehensive documentation: For users and coworkers, documentation can be a great resource. However, software development aims to build software that delivers business benefits rather than vast documentation.
Customer collaboration over contract negotiation: The software development team communicates with customers frequently. By listening to and getting their feedback, the team will understand what stakeholders want.
Responding to change over following a plan: In software development, changes are a reality that your software process should reflect. A project plan should be flexible enough to change as the different cases demand.
Now moving on to Agile software development, the best way to explain the process is Divide and Rule. Not the British way of ruling countries, but the humane way of making the work process more efficient.
It works by breaking projects down into a little bit of user functionality, prioritising them, and then delivering them continuously in 2-4 cycles called Sprints or Iterations. In one short Sprint (2-4 weeks), a full development cycle is performed. It includes analysis, design, coding, testing, and product release.
At the end of each Sprint, developers release a working software solution, and the performance is evaluated by the customer. The lessons learned in each Sprint are captured in retrospectives and used in the next iterations.
Advantages
High-quality product
Reduces technical debt
Increased adaptability
User-focused testing
Creates total alignment and transparency
Reduced risks
Increased customer satisfaction
Improves time to market
Early and predictable delivery
Better project control
Disadvantages
Like everything, agile also has its downside. But unlike others, these can be easily mitigated.
It will be challenging to set KPIs because of the see-as-we-go nature of the program.
The documentation in this process doesn’t start from the beginning, but is mostly done just in time before the final output. Hence the resulting document will be less detailed.
The minimal planning at the beginning can easily get sidetracked but can be rectified with sufficient documentation or a clear vision of your final product."
